srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Haryana,Fatehabad,Criminal,7514,5741,3517,1082,3,0,0,17857,15365,1405,1087,0,6271,323,10071,1191,3934,546,510,1358,266,,,0.014895285,0.060757084,0.96936947,0.030574532,32.64533821,0.043677903,0.01038533,0.092893293,0.969387172,0.000596131,0.569212529
Haryana,Fatehabad,Total,12833,8774,5213,1750,20,1,0,28591,23118,2815,1496,1162,9869,1182,15226,2312,4024,550,2396,3377,550,,,0.01923615,0.061940403,0.980728875,0.01923615,51.8892922,0.027480214,0.013411879,0.094702505,0.980746784,0.000947542,0.562279411
Haryana,Kaithal,Civil,6347,5029,3276,1819,56,0,2,16529,12538,1230,835,1926,5432,1512,8098,1487,103,6,2711,1492,5603,,,0.338959468,0.113551119,0.999576528,0.000362976,2361.285714,0.000518538,0.236330216,0.173611648,0.999594781,0.043119055,0.476272588
Haryana,Kaithal,Criminal,8278,8593,5175,1371,13,0,0,23430,21334,924,1172,0,10435,424,10871,1698,439,218,484,1094,5792,,,0.247193888,0.059067048,0.990653408,0.009303914,106.9863014,0.013291305,0.172349176,0.090309348,0.990671498,0.001953659,0.520600898
Haryana,Kaithal,Total,14625,13622,8451,3190,69,0,2,39959,33872,2154,2007,1926,15867,1936,18969,3185,542,224,3195,2586,11395,,,0.28516016,0.081606607,0.994369369,0.005605606,177.5955556,0.008008008,0.198820121,0.124770743,0.994387527,0.003243044,0.503706266
Haryana,Rewari,Civil,7818,6414,4134,3481,41,1,1,21890,16738,1638,1577,1937,8054,482,9340,3886,79,5,4894,4103,8987,,,0.410534009,0.160979398,0.999725915,0.000228404,3648.333333,0.000326292,0.286233607,0.246126139,0.999744171,0.066621623,0.444048912
Haryana,Rewari,Criminal,10654,9968,6686,2586,19,0,0,29913,26701,738,2474,0,11668,261,12816,2593,1837,1463,1021,2608,12085,,,0.403991442,0.087082971,0.951059704,0.048906866,20.43237705,0.069866952,0.281671981,0.133143718,0.951077072,0.000373112,0.504103716
Haryana,Rewari,Total,18472,16382,10820,6067,60,1,1,51803,43439,2376,4051,1937,19722,743,22156,6479,1916,1468,5915,6711,21072,,,0.406763956,0.118311327,0.971643116,0.02833758,35.26412526,0.040482257,0.283605041,0.18088967,0.971660859,0.000643952,0.481273501
Haryana,Panipat,Civil,7528,5404,2462,905,41,0,0,16340,12872,771,1165,1531,6154,1461,6292,2433,49,2,2498,3095,5472,,,0.334863227,0.057891194,0.999816413,0.000122392,5446.666667,0.000174845,0.233474225,0.08851155,0.99983467,0.099460697,0.492951121
Haryana,Panipat,Criminal,20083,11450,5652,2574,43,1,1,39804,36158,1060,2586,0,20721,493,15219,3368,2842,938,676,2938,13632,,,0.342469539,0.065795754,0.976409999,0.023564879,42.38977636,0.033664113,0.238777517,0.100597065,0.976427829,0.000774073,0.509585511
Haryana,Panipat,Total,27611,16854,8114,3479,84,1,1,56144,49030,1831,3751,1531,26875,1954,21511,5801,2891,940,3174,6033,19104,,,0.340261822,0.063496304,0.983239825,0.016742364,59.66418704,0.023917662,0.237238247,0.097081368,0.98325778,0.001089518,0.507354895
Haryana,Nuh,Civil,5052,4527,3372,1187,30,1,0,14169,11415,523,971,1260,6130,901,5354,1782,69,12,2276,984,5233,,,0.369301341,0.085956246,0.999082569,0.00084686,1089.923077,0.001209799,0.257485257,0.131421034,0.999100813,0.019902909,0.484208606
Haryana,Nuh,Criminal,7386,6455,4686,2677,12,2,0,21218,18656,467,2083,12,9117,515,9394,2128,1009,1053,319,704,7951,,,0.374711344,0.126820303,0.950327537,0.049625336,20.13092979,0.070893337,0.261257234,0.193899293,0.95034489,0.000367608,0.494094004
Haryana,Nuh,Total,12438,10982,8058,3864,42,3,0,35387,30071,990,3054,1272,15247,1416,14748,3910,1078,1065,2595,1688,13184,,,0.372555669,0.110461173,0.969876794,0.030094947,33.19606004,0.042992782,0.259754248,0.168887339,0.969894505,0.000606188,0.490825376
Haryana,Yamunanagar,Civil,10466,8235,5303,2025,57,1,1,26088,20448,1986,1220,2434,9929,1321,11721,3117,157,10,4923,3507,11324,,,0.434052666,0.079880409,0.999578366,0.000383303,2371.636364,0.000547576,0.302631347,0.122131509,0.999596619,0.043308067,0.473437509
